"method","group_by","group","pair_count","ok_count","homography_available_count","h_availability_pct","mean_inlier_ratio","mean_coverage","median_reprojection_error","runtime_pair_sec","status_counts","scene_name"
"SIFT","scene_id","01","50","50","50","100","0.173","0.755","0.283","3.613","{""ok"":50}","01_day_grayscale_wide_substation_power_lines_50"
"SIFT","scene_id","02","50","46","46","92","0.178","0.676","0.171","3.442","{""error"":4,""ok"":46}","02_day_grayscale_zoom_substation_power_lines_50"
"SIFT","scene_id","03","45","44","44","97.78","0.226","0.603","0.102","1.394","{""fit_failed"":1,""ok"":44}","03_night_grayscale_wide_substation_power_lines_45"
"SIFT","scene_id","04","45","45","45","100","0.225","0.656","0.127","1.079","{""ok"":45}","04_night_grayscale_zoom_substation_power_lines_45"
"SIFT","scene_id","05","1315","1222","1222","92.93","0.222","0.878","0.053","1.266","{""fit_failed"":21,""insufficient_matches"":1,""no_matches"":71,""ok"":1222}","05_night_pseudocolor_solar_panels_1315"
"SIFT","scene_id","06","1037","887","887","85.54","0.162","0.667","0.079","6.725","{""error"":149,""fit_failed"":1,""ok"":887}","06_day_pseudocolor_solar_panels_1037"
"SIFT","scene_id","07","102","100","100","98.04","0.286","0.59","0.177","1.552","{""fit_failed"":1,""insufficient_matches"":1,""ok"":100}","07_day_grayscale_transmission_tower_102"
"SIFT","scene_id","08","422","409","409","96.92","0.259","0.701","0.071","1.327","{""fit_failed"":8,""insufficient_matches"":4,""no_matches"":1,""ok"":409}","08_night_grayscale_urban_422"
"SIFT","scene_id","09","614","355","355","57.82","0.248","0.325","0","1.86","{""fit_failed"":91,""insufficient_matches"":152,""no_matches"":16,""ok"":355}","09_day_pseudocolor_building_614"
"SIFT","scene_id","10","262","179","179","68.32","0.222","0.411","0","1.634","{""fit_failed"":51,""insufficient_matches"":31,""no_matches"":1,""ok"":179}","10_day_pseudocolor_factory_262"
"SIFT","scene_id","11","181","177","177","97.79","0.264","0.672","0.078","1.55","{""fit_failed"":3,""insufficient_matches"":1,""ok"":177}","11_night_grayscale_building_181"
"SIFT","scene_id","12","588","583","583","99.15","0.267","0.629","0","20.643","{""fit_failed"":5,""ok"":583}","12_day_grayscale_orchard_588"
"SIFT","scene_id","13","467","353","353","75.59","0.324","0.392","0","1.374","{""fit_failed"":71,""insufficient_matches"":39,""no_matches"":4,""ok"":353}","13_lowlight_pseudocolor_road_469"
"SIFT","scene_id","14","673","664","664","98.66","0.301","0.589","0","2.95","{""fit_failed"":8,""insufficient_matches"":1,""ok"":664}","14_lowlight_pseudocolor_transmission_tower_673"
"SIFT","scene_id","15","186","143","143","76.88","0.314","0.416","0","1.355","{""fit_failed"":28,""insufficient_matches"":15,""ok"":143}","15_lowlight_pseudocolor_woodland_186"
"AKAZE","scene_id","01","50","50","50","100","0.119","0.731","0.244","1.015","{""ok"":50}","01_day_grayscale_wide_substation_power_lines_50"
"AKAZE","scene_id","02","50","50","50","100","0.126","0.711","0.149","0.952","{""ok"":50}","02_day_grayscale_zoom_substation_power_lines_50"
"AKAZE","scene_id","03","45","44","44","97.78","0.204","0.583","0.382","0.96","{""fit_failed"":1,""ok"":44}","03_night_grayscale_wide_substation_power_lines_45"
"AKAZE","scene_id","04","45","45","45","100","0.168","0.581","0.347","0.779","{""ok"":45}","04_night_grayscale_zoom_substation_power_lines_45"
"AKAZE","scene_id","05","1315","1223","1223","93","0.14","0.786","0.256","0.918","{""fit_failed"":12,""insufficient_matches"":1,""no_matches"":79,""ok"":1223}","05_night_pseudocolor_solar_panels_1315"
"AKAZE","scene_id","06","1037","1037","1037","100","0.094","0.857","0.104","1.43","{""ok"":1037}","06_day_pseudocolor_solar_panels_1037"
"AKAZE","scene_id","07","102","102","102","100","0.203","0.629","0.424","0.722","{""ok"":102}","07_day_grayscale_transmission_tower_102"
"AKAZE","scene_id","08","422","419","419","99.29","0.179","0.749","0.152","0.951","{""fit_failed"":2,""insufficient_matches"":1,""ok"":419}","08_night_grayscale_urban_422"
"AKAZE","scene_id","09","614","554","554","90.23","0.255","0.537","0","0.994","{""fit_failed"":40,""insufficient_matches"":20,""ok"":554}","09_day_pseudocolor_building_614"
"AKAZE","scene_id","10","262","132","132","50.38","0.229","0.256","0.001","0.948","{""fit_failed"":61,""insufficient_matches"":57,""no_matches"":12,""ok"":132}","10_day_pseudocolor_factory_262"
"AKAZE","scene_id","11","181","180","180","99.45","0.175","0.733","0.061","0.952","{""fit_failed"":1,""ok"":180}","11_night_grayscale_building_181"
"AKAZE","scene_id","12","588","588","588","100","0.071","0.957","0.004","1.705","{""ok"":588}","12_day_grayscale_orchard_588"
"AKAZE","scene_id","13","467","424","424","90.79","0.254","0.512","0.018","0.935","{""fit_failed"":27,""insufficient_matches"":15,""no_matches"":1,""ok"":424}","13_lowlight_pseudocolor_road_469"
"AKAZE","scene_id","14","673","673","673","100","0.152","0.809","0.292","1.002","{""ok"":673}","14_lowlight_pseudocolor_transmission_tower_673"
"AKAZE","scene_id","15","186","171","171","91.94","0.256","0.575","0.029","0.923","{""fit_failed"":8,""insufficient_matches"":7,""ok"":171}","15_lowlight_pseudocolor_woodland_186"
